number,state,createdAt,mergedAt,closedAt,org,repo,title,additions,deletions,changedFiles,commits,comments,reviews,baseRef,headRef,url
10,"MERGED","2023-11-17T00:15:56Z","2024-03-01T19:22:01Z","2024-03-01T19:22:01Z","integrations","autoDLQ","post go-live improvements",155,33,12,10,0,4,"master","aroethe/UAT","https://git.taservs.net/integrations/autoDLQ/pull/10"
195,"MERGED","2023-10-30T20:42:58Z","2023-11-07T21:10:02Z","2023-11-07T21:10:02Z","integrations","conductor","feat(IntegrationCore): add new field to incident config + test setup",74,1,3,2,0,1,"master","aroethe/NonGO_Enhancements","https://git.taservs.net/integrations/conductor/pull/195"
8,"MERGED","2023-10-13T16:56:55Z","2023-10-25T17:02:25Z","2023-10-25T17:02:25Z","integrations","autoDLQ","fix: UAT feedback",35,21,7,6,0,1,"master","aroethe/UAT","https://git.taservs.net/integrations/autoDLQ/pull/8"
6,"MERGED","2023-09-29T20:46:01Z","2023-10-05T15:38:27Z","2023-10-05T15:38:27Z","integrations","autoDLQ","fix(config): multi service struct support in generate cfg",372,291,19,14,0,4,"master","aroethe/constants-fix","https://git.taservs.net/integrations/autoDLQ/pull/6"
5,"MERGED","2023-09-20T00:43:14Z","2023-09-28T18:10:31Z","2023-09-28T18:10:31Z","integrations","autoDLQ","feat(api): conductor+activeMq interface",780,94,23,27,0,6,"master","aroethe/api-interfaces","https://git.taservs.net/integrations/autoDLQ/pull/5"
4,"MERGED","2023-09-14T00:33:05Z","2023-09-19T15:09:11Z","2023-09-19T15:09:11Z","integrations","autoDLQ","feat(fuzzyMatch): group DLQ Responses and errorMsg",504,115,17,36,0,13,"master","aroethe/fuzzy-match","https://git.taservs.net/integrations/autoDLQ/pull/4"
3,"MERGED","2023-09-01T21:22:47Z","2023-09-13T15:17:16Z","2023-09-13T15:17:16Z","integrations","autoDLQ","feat(database): create ssh client and fetch DLQ transactions",361,97,14,32,0,9,"master","aroethe/db-interface","https://git.taservs.net/integrations/autoDLQ/pull/3"
7285,"MERGED","2023-08-24T21:17:54Z","2023-08-25T21:04:10Z","2023-08-25T21:04:10Z","rcom","zeke","test(ibrsubmissionsvc): debug launch file",8,0,1,1,0,3,"master","aroethe/operation_action_supplement","https://git.taservs.net/rcom/zeke/pull/7285"
7275,"CLOSED","2023-08-23T21:23:08Z","","2023-08-25T21:04:23Z","rcom","zeke","feat: proto-upgrade",1,1,1,1,1,1,"master","aroethe/proto-upgrade","https://git.taservs.net/rcom/zeke/pull/7275"
2,"MERGED","2023-08-22T17:15:14Z","2023-09-12T04:13:41Z","2023-09-12T04:13:41Z","integrations","autoDLQ","feat(init): create config/logger and cli wireframe ",465,26,16,13,0,6,"master","aroethe/cfg_logger_secret_init","https://git.taservs.net/integrations/autoDLQ/pull/2"
